Domain	Site Rank	Year online	Name	MBFC Fact	MBFC Bias	MBFC cred	Media Bias/Fact Check	Wiki Fake	Wiki RSP	Wiki DEPS	Wikipedia	Quality	MisinfoMe	Lang	URL	Score
macontimes.com	30000000	2019	Macon Times	M	FN	L	https://mediabiasfactcheck.com/macon-times/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.3	-0.357	en	https://macontimes.com/	0.2
magicvalleytimes.com	30000000	2019	Magic Valley Times	M	FN	L	https://mediabiasfactcheck.com/magic-valley-times/				https://en.wikipedia.org/wiki/Brian_Timpone	0.4	-0.357	en	https://magicvalleytimes.com/	0.2
magnoliastatenews.com	30000000	2019	Magnolia State News	M	FN	L	https://mediabiasfactcheck.com/magnolia-state-news-bias/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.4	-0.952	en	https://magnoliastatenews.com/	0.2
mainehighlandsnews.com	30000000	2019	Maine Highlands News	M	FN	L	https://mediabiasfactcheck.com/maine-highlands-news-bias/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.3	-0.952	en	https://mainehighlandsnews.com/	0.2
manateereview.com	30000000	2019	Manatee Review	M	FN	L	https://mediabiasfactcheck.com/manatee-review/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.3	-0.357	en	https://manateereview.com/	0.2
manilabusinessdaily.com	30000000	2017	Manila Business Daily	M	FN	L	https://mediabiasfactcheck.com/manila-business-daily-bias/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.4	-1	en	https://manilabusinessdaily.com/	0.2
mansfieldtimes.com	30000000		Mansfield Times	M	FN	L	https://mediabiasfactcheck.com/mansfield-times-bias/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.4	-0.952	en	https://mansfieldtimes.com/	0.2
marinleader.com	30000000	2019	Marin Leader	M	FN	L	https://mediabiasfactcheck.com/marin-leader/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.3	-0.357	en	https://marinleader.com/	0.2
matsutimes.com	30000000	2019	Mat-Su Times	M	FN	L	https://mediabiasfactcheck.com/mat-su-times/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.4	-0.357	en	https://matsutimes.com/	0.2
mauireporter.com	30000000	2019	Maui Reporter	M	FN	L	https://mediabiasfactcheck.com/maui-reporter/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.4	-0.357	en	https://mauireporter.com/	0.2
mcleancountytimes.com	30000000	2016	McLean County Times	M	FN	L	https://mediabiasfactcheck.com/mclean-county-times/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.4	-0.359	en	https://mcleancountytimes.com/	0.2
mdbusinessdaily.com	30000000	2018	Maryland Business Daily	M	FN	L	https://mediabiasfactcheck.com/maryland-business-daily-bias/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.5	-1	en	https://mdbusinessdaily.com/	0.2
mdstatewire.com	30000000	2018	Maryland State Wire	M	FN	L	https://mediabiasfactcheck.com/maryland-state-wire-bias/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.3	-0.952	en	https://mdstatewire.com/	0.2
mecklenburgherald.com	30000000	2022	Mecklenburg Herald	M	FN	L	https://mediabiasfactcheck.com/mecklenburg-herald-bias/	1			https://en.wikipedia.org/wiki/The_American_Independent			en	https://mecklenburgherald.com/	0.2
mediafactwatch.com	30000000	2015	Media Fact Watch	VL	CP	L	https://mediabiasfactcheck.com/media-fact-watch/				https://en.wikipedia.org/wiki/Natural_News	0.2	0	en	https://mediafactwatch.com/	0.0
medicalcensorship.com	30000000	2020	Medical Censorship News	VL	CP	L	https://mediabiasfactcheck.com/medical-censorship-news-bias/				https://en.wikipedia.org/wiki/Natural_News	0.4		en	https://medicalcensorship.com/	0.0
medusamagazine.com	30000000	2017	Medusa Magazine	M	CP	L	https://mediabiasfactcheck.com/medusa-magazine/					0.3	0	en	https://medusamagazine.com/	0.2
mena.org.eg/en	30000000		Middle East News Agency	M	FN	L	https://mediabiasfactcheck.com/middle-east-news-agency-mena-bias/				https://en.wikipedia.org/wiki/Middle_East_News_Agency	0.3		en	https://www.mena.org.eg/en/	0.2
mercedtimes.com	30000000	2018	Merced Times	M	FN	L	https://mediabiasfactcheck.com/merced-times/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.4	-0.357	en	https://mercedtimes.com/	0.2
mercertimes.com	30000000	2019	Mercer Times	M	FN	L	https://mediabiasfactcheck.com/mercer-times-bias/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.6	-0.952	en	https://mercertimes.com/	0.2
merica1st.com	30000000	2017	National Conservative	L	FN	L	http://mediabiasfactcheck.com/council-of-concerned-citizens/					0.3	-0.6	en	https://merica1st.com/	0.1
merrimackvalleynews.com	30000000	2019	Merrimack Valley News	M	FN	L	https://mediabiasfactcheck.com/merrimack-valley-news-bias/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.6	-0.952	en	https://merrimackvalleynews.com/	0.2
mesatimes.com	30000000	2013	Mesa Times	M	FN	L	https://mediabiasfactcheck.com/mesa-times-bias/				https://en.wikipedia.org/wiki/The_American_Independent			en	https://mesatimes.com/	0.2
metricmedianews.com	30000000	2019	Metric Media	M	FN	L	https://mediabiasfactcheck.com/metric-media/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.3	-0.37	en	https://metricmedianews.com/	0.2
metrolexnews.com	30000000	2019	Metro Lex News	M	FN	L	https://mediabiasfactcheck.com/metro-lex-news-bias/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.3	-0.952	en	https://metrolexnews.com/	0.2
metrowesttimes.com	30000000	2019	Metro West Times	M	FN	L	https://mediabiasfactcheck.com/metro-west-times-bias/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.4	-0.952	en	https://metrowesttimes.com/	0.2
mexicobusinessdaily.com	30000000	2018	Mexico Business Daily	M	FN	L	https://mediabiasfactcheck.com/mexico-business-daily-bias/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.4	-1	en	https://mexicobusinessdaily.com/	0.2
miamicourant.com	30000000	2019	Miami Courant	M	FN	L	https://mediabiasfactcheck.com/miami-courant/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.3	-0.357	en	https://miamicourant.com/	0.2
mibusinessdaily.com	30000000	2018	Michigan Business Daily	M	FN	L	https://mediabiasfactcheck.com/michigan-business-daily-bias/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.5	-1	en	https://mibusinessdaily.com/	0.2
michaelsalla.com	30000000	2017	MichaelSalla.com	L	CP	L	https://mediabiasfactcheck.com/michaelsalla-com-bias/							en	https://michaelsalla.com/	0.1
midcoasttoday.com	30000000	2019	Mid Coast Today	M	FN	L	https://mediabiasfactcheck.com/mid-coast-today-bias/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.5	-0.952	en	https://midcoasttoday.com/	0.2
midmassnews.com	30000000	2019	Mid Massachusetts News	M	FN	L	https://mediabiasfactcheck.com/mid-massachusetts-news-bias/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.5	-0.952	en	https://midmassnews.com/	0.2
midmichiganstd.com	30000000	2022	Mid Michigan Standard	M	FN	L	https://mediabiasfactcheck.com/mid-michigan-standard-bias/	1			https://en.wikipedia.org/wiki/The_American_Independent			en	https://www.midmichiganstd.com/	0.2
midvalleyreporter.com	30000000	2019	Mid Valley Reporter	M	FN	L	https://mediabiasfactcheck.com/mid-valley-reporter-bias/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.4		en	https://midvalleyreporter.com/	0.2
milehighsentinel.com	30000000	2022	Mile High Sentinel	M	FN	L	https://mediabiasfactcheck.com/mile-high-sentinel-bias/	1			https://en.wikipedia.org/wiki/The_American_Independent			en	https://milehighsentinel.com/	0.2
milwaukeemetrotimes.com	30000000	2022	Milwaukee Metro Times	M	FN	L	https://mediabiasfactcheck.com/milwaukee-metro-times-bias/	1			https://en.wikipedia.org/wiki/The_American_Independent			en	https://www.milwaukeemetrotimes.com/	0.2
minneapolisreview.com	30000000	2019	Minneapolis Review	M	FN	L	https://mediabiasfactcheck.com/minneapolis-review-bias/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.7	-0.952	en	https://minneapolisreview.com/	0.2
minnesotastatewire.com	30000000	2019	Minnesota State Wire	M	FN	L	https://mediabiasfactcheck.com/minnesota-state-wire-bias/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.6	-0.952	en	https://minnesotastatewire.com/	0.2
mnbusinessdaily.com	30000000	2018	Minnesota Business Daily	M	FN	L	https://mediabiasfactcheck.com/minnesota-business-daily-bias/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.6	-1	en	https://mnbusinessdaily.com/	0.2
mncatholictribune.com	30000000	2020	Catholic Tribune - Minnesota	M	FN	L	https://mediabiasfactcheck.com/catholic-tribune-minnesota-bias/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.7	-1	en	https://mncatholictribune.com/	0.2
mobilecourant.com	30000000	2019	Mobile Courant	M	FN	L	https://mediabiasfactcheck.com/mobile-courant/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.3	-0.364	en	https://mobilecourant.com/	0.2
mobusinessdaily.com	30000000	2018	Missouri Business Daily	M	FN	L	https://mediabiasfactcheck.com/missouri-business-daily-bias/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.5	-1	en	https://mobusinessdaily.com/	0.2
mohavetoday.com	30000000	2019	Mohave Today	M	FN	L	https://mediabiasfactcheck.com/mohave-today/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.3	-0.357	en	https://mohavetoday.com/	0.2
mohawkvalleytimes.com	30000000	2019	Mohawk Valley Times	M	FN	L	https://mediabiasfactcheck.com/mohawk-valley-times-bias/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.6	-0.952	en	https://mohawkvalleytimes.com/	0.2
monmouthtimes.com	30000000	2019	Monmouth Times	M	FN	L	https://mediabiasfactcheck.com/monmouth-times-bias/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.7	-0.952	en	https://monmouthtimes.com/	0.2
monroereview.com	30000000	2019	Monroe Review	M	FN	L	https://mediabiasfactcheck.com/monroe-review-bias/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.4	-0.952	en	https://monroereview.com/	0.2
monterreydailypost.com	30000000	2020	Monterrey Daily Post	M	FN	L	https://mediabiasfactcheck.com/monterrey-daily-post-bias/							en	https://monterreydailypost.com/	0.2
montgomerymdnews.com	30000000	2018	Montgomery News	M	FN	L	https://mediabiasfactcheck.com/montgomery-news-bias/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.5	-0.952	en	https://montgomerymdnews.com/	0.2
morelosdailypost.com	30000000	2020	Morelos Daily Post	M	FN	L	https://mediabiasfactcheck.com/morelos-daily-post-bias/							en	https://morelosdailypost.com/	0.2
morningpoll.com	30000000	2019	Morning Poll	L	FN	L	https://mediabiasfactcheck.com/morning-poll-bias/					0.3		en	https://morningpoll.com/	0.1
morrisleader.com	30000000	2019	Morris Leader	M	FN	L	https://mediabiasfactcheck.com/morris-leader-bias/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.4	-0.952	en	https://morrisleader.com/	0.2
mrctv.org/cnsnews	30000000		CNS News	L	FN	L	https://mediabiasfactcheck.com/cns-news/				https://en.wikipedia.org/wiki/Media_Research_Center			en	https://www.mrctv.org/cnsnews/	0.1
msbusinessdaily.com	30000000	2018	Mississippi Business Daily	M	FN	L	https://mediabiasfactcheck.com/mississippi-business-daily-bias/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.5	-1	en	https://msbusinessdaily.com/	0.2
msgulfnews.com	30000000	2019	Mississippi Gulf News	M	FN	L	https://mediabiasfactcheck.com/mississippi-gulf-news-bias/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.5	-0.952	en	https://msgulfnews.com/	0.2
msmlies.com	30000000	2017	MSMLies.com	M	FN	L	https://mediabiasfactcheck.com/msmlies-com/					0.3	0	en	https://www.msmlies.com/	0.2
munciereporter.com	30000000	2019	Miuncie Reporter	M	FN	L	https://mediabiasfactcheck.com/muncie-reporter/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.4	-0.359	en	https://munciereporter.com/	0.2
muricatoday.com	30000000	2016	Murica Today	M	CP	L	https://mediabiasfactcheck.com/murica-today/					0.3	0	th	https://muricatoday.com/	0.2
muskegonsun.com	30000000	2019	Muskegon Sun	M	FN	L	https://mediabiasfactcheck.com/muskegon-sun-bias/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.5	-0.952	en	https://muskegonsun.com/	0.2
mutembeitv.com	30000000	2021	Mutembei TV	M	FN	L	https://mediabiasfactcheck.com/mutembei-tv-bias/							en	https://mutembeitv.com/	0.2
mynewsguru.com	30000000	2017	The News Guru	L	FN	L	https://mediabiasfactcheck.com/the-news-guru/					0.2	-0.6	en	https://mynewsguru.com/	0.1
myrightamerica.com	30000000	2016	My Right American	L	FN	L	https://mediabiasfactcheck.com/my-right-american/					0.2	0	en	https://myrightamerica.com/	0.1
nantahalanews.com	30000000	2019	Nantahala News	M	FN	L	https://mediabiasfactcheck.com/nantahala-news-bias/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.4	-0.952	en	https://nantahalanews.com/	0.2
naplesstandard.com	30000000	2019	Naples Standard	M	FN	L	https://mediabiasfactcheck.com/naples-standard/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.3	-0.357	en	https://naplesstandard.com/	0.2
nassaustandard.com	30000000	2019	Nassau Standard	M	FN	L	https://mediabiasfactcheck.com/nassau-standard-bias/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.4	-0.952	en	https://nassaustandard.com/	0.2
nationaleconomicseditorial.com	30000000	2016	National Economics Editorial	L	FN	L	https://mediabiasfactcheck.com/national-economics-editorial/					0.2	0.2	en	https://nationaleconomicseditorial.com/	0.1
nationalsecurity.news	30000000	2015	NationalSecurity.News	VL	CP	L	https://mediabiasfactcheck.com/nationalsecurity-news/				https://en.wikipedia.org/wiki/Natural_News	0.1	0	en	https://nationalsecurity.news/	0.0
naturalblaze.com	30000000			M	CP	L	https://mediabiasfactcheck.com/natural-blaze-bias-and-credibility/	1				0.2		en	https://naturalblaze.com/	0.2
naturalnewsradio.com	30000000	2008	Natural News Radio	VL	CP	L	https://mediabiasfactcheck.com/natural-news-radio/				https://en.wikipedia.org/wiki/Natural_News	0.2	0	en	https://naturalnewsradio.com/	0.0
naturecoasttimes.com	30000000	2019	Nature Coast Times	M	FN	L	https://mediabiasfactcheck.com/nature-coast-times/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.3	-0.357	en	https://naturecoasttimes.com/	0.2
naugatucktimes.com	30000000	2019	Naugutuck Times	M	FN	L	https://mediabiasfactcheck.com/naugatuck-times/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.3	-0.357	en	https://naugatucktimes.com/	0.2
navarroreport.com	30000000	2020	The Navarro Report	L	FN	L	https://mediabiasfactcheck.com/navarro-report/				https://en.wikipedia.org/wiki/Peter_Navarro	0.2	0	en	https://navarroreport.com/	0.1
ncarkansasnews.com	30000000	2019	North Central Arkansas News	M	FN	L	https://mediabiasfactcheck.com/north-central-arkansas-news/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.3	-0.357	en	https://ncarkansasnews.com/	0.2
ncfloridanews.com	30000000	2019	NC Florida News	M	FN	L	https://mediabiasfactcheck.com/nc-florida-news/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.4	-0.357	en	https://ncfloridanews.com/	0.2
ncgeorgianews.com	30000000	2019	NC Georgia News	M	FN	L	https://mediabiasfactcheck.com/nc-georgia-news/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.3	-0.357	en	https://ncgeorgianews.com/	0.2
ncindiananews.com	30000000	2019	NC Indiana News	M	FN	L	https://mediabiasfactcheck.com/nc-indiana-news/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.5	0.018	en	https://ncindiananews.com/	0.2
nckansasnews.com	30000000	2019	NC Kansas News	M	FN	L	https://mediabiasfactcheck.com/nc-kansas-news-bias/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.4		en	https://nckansasnews.com/	0.2
nckentuckynews.com	30000000	2019	NC Kentucky News	M	FN	L	https://mediabiasfactcheck.com/nc-kentucky-news-bias/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.4	-0.952	en	https://nckentuckynews.com/	0.2
ncmassnews.com	30000000	2019	NC Massachusetts News	M	FN	L	https://mediabiasfactcheck.com/nc-massachusetts-news-bias/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.4	-0.952	en	https://ncmassnews.com/	0.2
ncminnesotanews.com	30000000	2019	NC Minnesota News	M	FN	L	https://mediabiasfactcheck.com/nc-minnesota-news-bias/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.6	-0.952	en	https://ncminnesotanews.com/	0.2
ncmissnews.com	30000000	2019	NC Mississippi News	H	FN	L	https://mediabiasfactcheck.com/nc-mississippi-news-bias/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.5	-0.952	en	https://ncmissnews.com/	0.4
ncncnews.com	30000000	2019	NC North Carolina News	M	FN	L	https://mediabiasfactcheck.com/nc-north-carolina-news-bias/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.4	-0.952	en	https://ncncnews.com/	0.2
ncoklahomanews.com	30000000	2019	NC Oklahoma News	M	FN	L	https://mediabiasfactcheck.com/nc-oklahoma-news-bias/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.6		en	https://ncoklahomanews.com/	0.2
ncunionnews.com	30000000		NC Union News	M	FN	L	https://mediabiasfactcheck.com/nc-union-news-bias/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.4	-0.952	en	https://ncunionnews.com/	0.2
ndnorthnews.com	30000000		ND North News	M	FN	L	https://mediabiasfactcheck.com/nd-north-news-bias/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.6	-0.952	en	https://ndnorthnews.com/	0.2
nealabamanews.com	30000000	2019	NE Alabama Courant	M	FN	L	https://mediabiasfactcheck.com/ne-alabama-news/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.4	-0.364	en	https://nealabamanews.com/	0.2
neatlantanews.com	30000000	2019	NE Atlanta News	M	FN	L	https://mediabiasfactcheck.com/ne-atlanta-news/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.4	-0.357	en	https://neatlantanews.com/	0.2
nebergennews.com	30000000	2019	NE Bergen News	M	FN	L	https://mediabiasfactcheck.com/ne-bergan-news-bias/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.6	-0.952	en	https://nebergennews.com/	0.2
nebraskabusinessdaily.com	30000000	2018	Nebraska Business Daily	M	FN	L	https://mediabiasfactcheck.com/nebraska-business-daily-bias/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.4	-1	en	https://nebraskabusinessdaily.com/	0.2
necalinews.com	30000000	2019	NE Cali News	M	FN	L	https://mediabiasfactcheck.com/ne-cali-news/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.3	-0.357	en	https://necalinews.com/	0.2
necoloradonews.com	30000000	2019	NE Colorado News	M	FN	L	https://mediabiasfactcheck.com/ne-colorado-news/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.3	-0.357	en	https://necoloradonews.com/	0.2
neconnnews.com	30000000	2019	NE Connecticut News	M	FN	L	https://mediabiasfactcheck.com/ne-connecticut-news/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.3	-0.357	en	https://neconnnews.com/	0.2
nefloridanews.com	30000000	2019	NE Florida News	M	FN	L	https://mediabiasfactcheck.com/ne-florida-news/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.4	-0.357	en	https://nefloridanews.com/	0.2
neindiananews.com	30000000	2019	NE Indiana News	M	FN	L	https://mediabiasfactcheck.com/ne-indiana-news/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.5	-0.357	en	https://neindiananews.com/	0.2
neiowanews.com	30000000	2019	NE Iowa News	M	FN	L	https://mediabiasfactcheck.com/ne-iowa-news-bias/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.3	0.018	en	https://neiowanews.com/	0.2
nekansascitynews.com	30000000	2019	NE Kansas City News	M	FN	L	https://mediabiasfactcheck.com/ne-kansas-city-news-bias/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.6	-0.952	en	https://nekansascitynews.com/	0.2
nekansasnews.com	30000000	2019	NE Kansas News	M	FN	L	https://mediabiasfactcheck.com/ne-kansas-news-bias/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.4		en	https://nekansasnews.com/	0.2
nekentuckynews.com	30000000	2019	NE Kentucky News	M	FN	L	https://mediabiasfactcheck.com/ne-kentucky-news-bias/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.4	-0.952	en	https://nekentuckynews.com/	0.2
